"","species","total_RMSE_weighted","mean_RMSE_weighted","total_RMSE_no_weighted","mean_RMSE_no_weighted","total_AIC","mean_AIC"
"87","Populus grandidentata",10.2129547215736,0.102129547215736,10.2863676023356,0.102863676023356,-348708.133780804,-3487.08133780804
"88","Populus tremuloides",12.0664382635611,0.120664382635611,12.3619446898568,0.123619446898568,-981112.774799925,-9811.12774799925
"89","Prunus pensylvanica",14.3310305758663,0.143310305758663,14.3310305758663,0.143310305758663,-9897.0465472774,-98.970465472774
"90","Prunus serotina",12.1149878243835,0.121149878243835,13.8621240627962,0.138621240627962,-400154.045654106,-4001.54045654106
"91","Pseudotsuga menziesii",18.4866114504174,0.184866114504174,20.4818388463362,0.204818388463362,-382022.78909729,-3820.2278909729
"92","Quercus alba",12.1831327993912,0.121831327993912,14.6183370892388,0.146183370892388,-866256.552635104,-8662.56552635104
"93","Quercus chrysolepis",17.8428154610726,0.178428154610726,17.8492611067552,0.178492611067552,-32790.6925898255,-327.906925898255
"94","Quercus coccinea",10.7201140332057,0.107201140332057,11.9737154561188,0.119737154561188,-302444.259501462,-3024.44259501462
"95","Quercus ellipsoidalis",13.6668518314016,0.136668518314016,13.6668518314016,0.136668518314016,-48399.9896022852,-483.999896022852
"96","Quercus faginea",13.2958345776269,0.132958345776269,13.4097335769776,0.134097335769776,-3462.86313489748,-34.6286313489748
"97","Quercus falcata",11.7371835174593,0.117371835174593,13.0522040320117,0.130522040320117,-167203.432458222,-1672.03432458222
"98","Quercus ilex",23.3969209929159,0.233969209929159,23.4433173649579,0.234433173649579,-2609.47772318288,-26.0947772318288
"99","Quercus kelloggii",17.3942377981252,0.173942377981252,17.3942377981252,0.173942377981252,-36582.7581228946,-365.827581228946
"100","Quercus laurifolia",14.724898553957,0.14724898553957,14.724898553957,0.14724898553957,-66154.5862866371,-661.545862866371
"101","Quercus lyrata",12.5440503297339,0.125440503297339,12.5440503297339,0.125440503297339,-29691.0056494424,-296.910056494424
"102","Quercus macrocarpa",14.7525535793971,0.147525535793971,17.5780337444977,0.175780337444977,-76005.111857166,-760.05111857166
"103","Quercus marilandica",15.1003716268001,0.151003716268001,15.1003716268001,0.151003716268001,-38821.1126768685,-388.211126768685
"104","Quercus michauxii",10.9199217271646,0.109199217271646,12.7387752392123,0.127387752392123,-510109.575875993,-5101.09575875993
"105","Quercus muehlenbergii",10.3751145212469,0.103751145212469,10.3751145212469,0.103751145212469,-46212.8296365981,-462.128296365981
"106","Quercus nigra",13.3681699047168,0.133681699047168,14.968249107181,0.14968249107181,-176108.827848462,-1761.08827848462
"107","Quercus pagoda",11.310815583172,0.11310815583172,11.310815583172,0.11310815583172,-56960.4675091568,-569.604675091568
"108","Quercus petraea",15.4070591911813,0.154070591911813,15.6079971455148,0.156079971455148,-20127.7989011932,-201.277989011932
"109","Quercus phellos",13.3865009266397,0.133865009266397,13.4794996419582,0.134794996419582,-51293.7787588552,-512.937787588553
"110","Quercus robur",15.7403226800336,0.157403226800336,15.790647490725,0.15790647490725,-13064.9474796674,-130.649474796674
"111","Quercus rubra",10.9440324550988,0.109440324550988,13.0265888997007,0.130265888997007,-714468.777643645,-7144.68777643645
"112","Quercus stellata",12.2900972313494,0.122900972313494,13.8689813024241,0.138689813024241,-399133.985577012,-3991.33985577012
"113","Quercus velutina",11.4596773485531,0.114596773485531,13.7687199998407,0.137687199998407,-490806.625934978,-4908.06625934978
