"","X","species","mat.low","mat.high","mat","map.low","map.high","map","tmin.low","tmin.high","tmin","etp.low","etp.high","etp","la","sla","ssd","sm","mean_ldmc","min_ldmc","max_ldmc","shade_tol_mean","shade_tol_sd","group","new_gp"
"27",27,"Carya alba",9.5,19.9275,13.8055319148936,841.425,1616.4,1183.85319148936,-8.3,7.155,-1.8468085106383,72.7435,113.69925,92.0165106382979,19838.6203351743,20.1878317538169,0.685,5269.51947221429,0.294818379322716,0.25882352941,0.32727272727,2.2,NA,"A","angio"
"28",28,"Carya cordiformis",6.7,15.915,9.31316017316017,742.55,1359.9,958.271861471861,-14.1,0.7,-8.76406926406926,66.75,104.674,79.6652467532467,9787.58226541667,24.5042069361111,0.6,2833.920973,0.270750776992222,0.21739130435,0.31132075472,2.07,0.07,"A","angio"
"29",29,"Carya glabra",8.1,22.6,13.8320402298851,795.375,1538.875,1179.25143678161,-8.8,12.8625,-1.53462643678161,72.74875,127.9975,93.2467097701149,21152.0140329755,18.1731686672804,0.71,3069.50669008333,0.287178028240769,0.223258377429,0.3350649794845,2.69,0.35,"A","angio"
"30",30,"Carya ovata",7.3,16.1,10.3510411846367,750,1436,1013.81027302175,-13.2,1,-6.80610828320222,68.38,104.95,82.741855622397,5544.43033816667,15.0481604708333,0.654006958133333,4299.58184154082,0.290968637902333,0.25,0.33333333333,3.4,0.29,"A","angio"
"31",31,"Carya texana",11.5575,20.985,18.2484375,631.575,1362.975,882.5,-7.5425,6.3425,2.3765625,90.8985,136.69075,117.13359375,3097.57600842857,20.1848583923529,0.54,5473.66,0.2751536281444,0.19230769231,0.30952380952,NA,NA,"A","angio"
"32",32,"Castanea sativa",8.5,15.6,11.6245497170083,480,1369,843.556590747007,-3.9,5.5,1.13547334719209,58.11,112.24,79.138640878281,5947.9216666501,17.8603684771024,0.447535242833333,4183.12589533571,0.356479822373285,0.265,0.432814950047041,3.15,0.23,"A","angio"
"33",33,"Celtis occidentalis",7,17.7,10.9454450806871,581,1289,947.030192608017,-14,8.1,-6.26928682977616,67.1,110.55,86.8376522644456,4456.15292875758,21.4736249545022,0.49,94.6721799259259,0.219425459319394,0.165760869565,0.2771401985125,3.17,0.17,"A","angio"
"34",34,"Diospyros virginiana",11.7875,21.5125,16.3476758045292,810.625,1588.125,1151.45858164482,-5.5125,10.2,0.999642431466031,84.18,131.83,104.996185935638,4512.38911269907,24.888434554375,0.657666666666667,306.026458795918,0.21328219588953,0.15853658537,0.37382078638,4.21,0.21,"A","angio"
"35",35,"Erica arborea",10.8,17.9,15.607556536128,494,1096,747.337418163505,0,8.3,4.38756564905633,77.91925,123.31,103.496981398917,5.36212121211364,7.83101716533333,NA,0.0458333333333333,NA,NA,NA,NA,NA,"C","angio"
"36",36,"Eucalyptus globulus",12.1,18.6174999999996,16.3491717254862,545,1015,762.009380251741,3.4,9.3,6.52556847412285,81.24,123.68,106.986521575149,NA,10.8290492610286,0.721969394,8.53155927678572,NA,NA,NA,NA,NA,"C","angio"
"37",37,"Fagus grandifolia",5.3,17.1,10.2553649068323,775,1508,1087.14767080745,-14.4,2.1,-6.47628881987578,62.3,105.65,79.9287493207049,3905.23743724742,23.3988301829219,0.615,265.67347997619,0.371870169242609,0.303787878787879,0.441858383071369,4.75,0.14,"A","angio"
"38",38,"Fagus sylvatica",6.1,12.1,8.94422580224682,554,1551,858.092861246421,-6.2,3.4,-1.56298778103381,48.63,82.05,63.6900480082603,2140.9530203341,20.2384302910523,0.645873393992593,166.116033333333,0.433035615792913,0.29784496623,0.636363636363636,4.56,0.11,"A","angio"
"39",39,"Fraxinus americana",5.5,20.1825,10.7974085365854,723.175,1443,1002.77489837398,-14.2,5,-6.41808943089431,61.8935,126.44075,83.3715802845528,10099.96363183,24.6342553514147,0.595,41.4647258333333,0.321302785275277,0.21621621622,0.46998011928,2.46,0.21,"A","angio"
"40",40,"Fraxinus excelsior",5.7,12.4,8.74397077213545,534,1563,811.120265797023,-7.1,3.3,-1.73203001250521,48.02,82.2582499999998,63.6740628183029,4201.46265391708,18.4589206743356,0.570787697952381,50.7767277850877,0.341609086035945,0.263,0.412481300699301,2.66,0.13,"A","angio"
"41",41,"Fraxinus nigra",2.5,10.1325,6.40668016194332,645,1258.325,894.782388663968,-20.4,-6.7,-13.0054655870445,58.1145,87.099,69.3884615384615,14758.6099642222,21.5707290821139,0.49,47.8189270716667,NA,NA,NA,2.96,0.43,"A","angio"
"42",42,"Fraxinus pennsylvanica",3.2,20,9.33782383419689,403.7,1266.3,830.216420884815,-19,4.9,-7.63495416500598,51.217,119.364,76.7725548027102,12080.9924332222,19.0459286837143,0.589833333333333,32.6312542442857,0.268578128960784,0.19055,0.37765725575,3.11,0.11,"A","angio"
"43",43,"Gleditsia triacanthos",8.2,19.6,13.5580374361883,433,1324,861.908905275099,-9.8,7.5,-0.508667044809983,59.14475,129.9,89.5948832199547,135.5,31.1,0.635,174.54906384375,NA,NA,NA,1.61,0.2,"A","angio"
"44",44,"Gordonia lasianthus",17.3,23.5,20.8190476190476,1239.55,1551.05,1336.90079365079,3.4275,15.3,9.23412698412698,98.61875,134.9325,114.815555555556,4465.41268833333,13.706542455,0.37,3.471201,NA,NA,NA,3,NA,"C","angio"
"45",45,"Ilex opaca",10.1,20.5,14.4276889848812,917,1583.275,1175.03542116631,-5.7,8.1,-0.775701943844492,78.1205,116.1645,94.2269363538296,1400.4997329,10.4431501721601,0.5,16.7758138333333,NA,NA,NA,4.28,0.37,"C","angio"
"46",46,"Juglans nigra",7.1,18.8,11.758358662614,573.35,1429.3,973.937386018237,-13.5,3.66499999999996,-3.90952380952381,61.58,115.31,84.9802329821718,14309.142857131,22.8591074283333,0.5376,11552.646032449,NA,NA,NA,1.93,0.25,"A","angio"
"47",47,"Juniperus occidentalis",3.6,12.605,7.49032992036405,218,1390.1,620.241183162685,-10.6,-1.3,-6.45312855517634,76.779,117.0775,92.0625142207054,NA,1.9,0.5126825,38.8122385,NA,NA,NA,1.67,0.16,"D","gymno"
"48",48,"Juniperus thurifera",4.81,15.2,11.0073708647707,389,1208,657.503772489843,-7.3,2.1,-1.20139291932676,68.4025,112.05,91.5386186883343,NA,NA,0.53,30.5,NA,NA,NA,NA,NA,"D","gymno"
"49",49,"Juniperus virginiana",7.12,21.3,13.6010239865339,710,1495.8,1072.898022163,-13.6,10.2,-2.46866320662084,70.7075,130.84,95.8767059318469,25.758064516129,2.83964345463333,0.4844355,17.73133175,0.504182999410747,0.50418299941,0.504182999412129,1.28,0.09,"D","gymno"
"50",50,"Larix decidua",1.9,10.6,7.85383813019123,537,1755.9,881.543248985899,-11.3,3,-3.02708904771103,47.15,77.96,62.1221780880028,17.251728772306,15.1236639162624,0.493378169142857,5.463107,0.383184347017837,0.2885,0.42447784721,1.46,0.29,"B","gymno"
"51",51,"Larix laricina",0.2,9.4,5.98492164337145,481,1480,929.584074544684,-21.1,-6.3,-12.4166878441338,51.48,84.17,68.1660821685726,24.2168452436667,14.278274681556,0.513333333333333,1.7319526,NA,NA,NA,0.98,0.09,"B","gymno"
"52",52,"Larix occidentalis",1.8675,9.3,6.42467532467532,302.75,1263.275,581.850649350649,-11.4975,-3.5675,-7.07207792207792,57.36475,85.418,71.742987012987,25.2,11.0240740740741,0.526363116,3.22506644444444,NA,NA,NA,1.35,0.23,"B","gymno"
"53",53,"Liquidambar styraciflua",10.2,21.2,15.6018351925153,795.875,1598,1187.62765383231,-6.2,10.2,0.893792731198273,76.72625,122.91075,99.1493317143371,8015.73361120202,15.7689376296906,0.481552945,5.30204689685714,0.33,0.33,0.33,1.59,0.14,"A","angio"
"54",54,"Liriodendron tulipifera",8.6,18,12.9010614702155,768,1563.425,1128.40644803549,-8.1,4,-2.72552281368821,69.18,110.69,89.9850344554455,11810.1639148733,21.2619154560718,0.359276546333333,34.6298565714286,NA,NA,NA,2.07,0.27,"A","angio"
"55",55,"Maclura pomifera",9.9,21.1,15.7017070600632,501.6,1442,935.944362486828,-8.1,9.2,0.699283456269758,71.1925,139.38,101.887434224374,5067.074791,NA,0.8,37.8457127301515,NA,NA,NA,1.45,0.29,"A","angio"
"56",56,"Magnolia virginiana",11.58,24,17.4906048906049,942.2,1609,1298.5045045045,-4.36,15.6,3.91776061776062,81.642,136.34,104.542123552124,5668.1226432288,13.5159414306761,0.45,59.3361423333333,0.35,0.35,0.35,3,0,"A","angio"
"57",57,"Morus rubra",9.8,22.8,17.1786826347305,742.7,1527.3,1129.79281437126,-7.915,13.3,2.06215568862275,81.298,133.258,107.284610778443,6939.77314944444,27.3982400561667,0.59,1.43634507930952,NA,NA,NA,2.34,0.16,"A","angio"
"58",58,"Notholithocarpus densiflorus",9.2625,14.8,12.6805872756933,556.625,1904.875,953.123164763458,-1,7.2375,4.81011419249592,79.9,114.49,95.0396329526917,NA,11.37,0.71,5431.0866783,NA,NA,NA,NA,NA,"C","angio"
"59",59,"Nyssa aquatica",14.5925,20.5,17.3717948717949,1129.625,1637,1305.29487179487,-2.6075,7.3225,2.1474358974359,94.84525,116.5265,105.679615384615,6774.388144875,NA,0.485,929.447387283333,NA,NA,NA,3.47,0.53,"A","angio"
"60",60,"Nyssa sylvatica",8.4,20.2,13.0897905759162,865.625,1601.125,1175.83420593368,-8.6375,7,-2.52242582897033,70,114.46125,90.0476614310646,2576.37540634844,16.984047521,0.509745080333333,196.616657159864,0.29,0.29,0.29,3.52,0.28,"A","angio"
"61",61,"Ostrya virginiana",4.8,19.6,9.39526484751204,702.275,1487.725,1013.06781701445,-15.7,6.27249999999999,-8.13932584269663,62.46,110.40725,79.0325722311397,3055.56646044464,33.1374011676194,0.63,15.6906959166667,0.35206228525853,0.268360077023329,0.421677438305602,4.58,0.21,"A","angio"
"62",62,"Oxydendrum arboreum",10,19.4,14.5916354556804,925,1748,1281.62047440699,-5.1,6.2,-0.427590511860175,79.67,112.16,95.6808988764045,5130.8698745,26.189005235,0.516919402666667,0.1776932,0.28,0.28,0.28,2.7,0.35,"A","angio"
