"id_allom";"dbh_cm";"bal_m2ha";"species";"order";"h_m";"cradius_m";"cratio";"crown_lad";"e";"epot"
1;15;0;"Abies alba";"G";10.9976902963559;1.39827269515066;0.390613886927488;0.5;19430.3689885381;19430.3689885381
1;15;30;"Abies alba";"G";12.4409308971288;1.80691759345663;0.482630594595999;0.5;45684.5935679425;45684.5935679425
1;30;0;"Abies alba";"G";17.748180946423;1.85502588540511;0.432491325665046;0.5;68275.8137269074;68275.8137269074
1;30;30;"Abies alba";"G";20.0772968463524;2.39715680659473;0.52586019257441;0.5;144484.493712067;144484.493712067
2;15;0;"Abies alba";"G";10.8305568672303;2.2044738152899;0.400499096003278;0.5;51673.6265685271;51673.6265685271
2;15;30;"Abies alba";"G";12.2906979790302;2.14353952071221;0.464585960221034;0.5;58885.1570549401;58885.1570549401
2;30;0;"Abies alba";"G";17.6383712770656;2.18924640235185;0.430263486860462;0.5;99314.7260393554;99314.7260393554
2;30;30;"Abies alba";"G";20.0163202008886;2.12873301169199;0.49517915064647;0.5;117283.755717584;117283.755717584
3;15;0;"Abies alba";"G";10.7541686657618;2.71915043668583;0.383851669712793;0.5;64940.9784073297;64940.9784073297
3;15;30;"Abies alba";"G";12.2067471310785;2.64271032791066;0.466212926579366;0.5;77918.0202357122;77918.0202357122
3;30;0;"Abies alba";"G";17.5590759065611;2.6347054858158;0.426996861773604;0.5;131123.378256713;131123.378256713
3;30;30;"Abies alba";"G";19.9308013579142;2.56063927336609;0.510938862436369;0.5;151776.931158099;151776.931158099
4;15;0;"Abies alba";"G";10.9262699489014;2.60512234586694;0.36635817511378;0.5;57800.0423813912;57800.0423813912
4;15;30;"Abies alba";"G";12.4491501837373;1.86153950823071;0.473359689252668;0.5;46469.4220694124;46469.4220694124
4;30;0;"Abies alba";"G";17.6679811140678;2.78044264561394;0.41562594455133;0.5;137059.726198167;137059.726198167
4;30;30;"Abies alba";"G";20.130506692687;1.98681794864317;0.525092533441581;0.5;108150.753352119;108150.753352119
5;15;0;"Abies alba";"G";10.940161563458;2.05091137251664;0.310415745859717;0.5;34100.6242375419;34100.6242375419
5;15;30;"Abies alba";"G";12.4063787911791;1.91799137304365;0.424354376922238;0.5;44151.8593609428;44151.8593609428
5;30;0;"Abies alba";"G";17.6970620855584;2.03674469285275;0.361842283268382;0.5;75680.2993875822;75680.2993875822
5;30;30;"Abies alba";"G";20.0688494818765;1.90474283888263;0.481477483972116;0.5;95151.9947700617;95151.9947700617
6;15;0;"Abies alba";"G";10.7757122284889;1.8877739229919;0.259977238472298;0.5;26193.1650653907;26193.1650653907
6;15;30;"Abies alba";"G";12.4635330150364;1.94342621874453;0.411333378772868;0.5;43459.3328668329;43459.3328668329
6;30;0;"Abies alba";"G";17.5028014065139;2.30033717729063;0.326920384972527;0.5;83701.6047907834;83701.6047907834
6;30;30;"Abies alba";"G";20.244299268588;2.36815199524216;0.491371836969569;0.5;135379.942133229;135379.942133229
7;15;0;"Abies alba";"G";10.8732988623135;2.0158043049271;0.438765539647924;0.5;46936.1498124206;46936.1498124206
7;15;30;"Abies alba";"G";12.4430208580843;2.27569709582469;0.459718172967459;0.5;62731.0983588512;62731.0983588512
7;30;0;"Abies alba";"G";17.6325619919034;2.20288242367422;0.475581627647455;0.5;100502.05079962;100502.05079962
7;30;30;"Abies alba";"G";20.1780838938549;2.48689474555913;0.49673630531391;0.5;144714.668028799;144714.668028799
8;15;0;"Abies alba";"G";10.7177166900748;1.70640438516359;0.439221757028011;0.5;35006.80202353;35006.80202353
8;15;30;"Abies alba";"G";12.3255326031669;2.4114398150816;0.49028355993747;0.5;74133.992697132;74133.992697132
8;30;0;"Abies alba";"G";17.4888251916916;1.94142187091546;0.469885421070254;0.5;75148.7587880779;75148.7587880779
8;30;30;"Abies alba";"G";20.1124074581017;2.74355952088517;0.521198826265384;0.5;169847.598279024;169847.598279024
9;15;0;"Abies alba";"G";10.9519124072214;3.36928021693454;0.372878688989227;0.5;97996.7989817318;97996.7989817318
9;15;30;"Abies alba";"G";12.3362952754041;2.88730261274533;0.471543522908731;0.5;90034.3288922431;90034.3288922431
9;30;0;"Abies alba";"G";17.7642117237097;2.98642676204214;0.413752228363467;0.5;146051.595264435;146051.595264435
9;30;30;"Abies alba";"G";20.0097072556918;2.55921657969488;0.514361701661144;0.5;152727.181707113;152727.181707113
10;15;0;"Abies alba";"G";10.7202713710934;2.04362620939347;0.473134324456425;0.5;50250.1535435488;50250.1535435488
10;15;30;"Abies alba";"G";12.2956031849999;2.29434635055455;0.504670967953563;0.5;71845.269546065;71845.269546065
10;30;0;"Abies alba";"G";17.5403920072761;2.33956573535677;0.490602057890644;0.5;115273.249581403;115273.249581403
10;30;30;"Abies alba";"G";20.1179328736352;2.62659290731615;0.522149124375187;0.5;161255.880731097;161255.880731097
11;15;0;"Abies alba";"G";10.9955150062274;1.8700167780641;0.412790309751506;0.5;38404.7662362686;38404.7662362686
11;15;30;"Abies alba";"G";12.5882254363998;2.07312537062275;0.476459060359732;0.5;57250.8042656214;57250.8042656214
11;30;0;"Abies alba";"G";17.716617578039;2.01883026325306;0.443449912016942;0.5;80564.5041334571;80564.5041334571
11;30;30;"Abies alba";"G";20.2828858781538;2.23810197150406;0.507758501373215;0.5;129701.51239057;129701.51239057
12;15;0;"Abies alba";"G";10.9222311003819;1.90803305041772;0.497080891272862;0.5;47777.8444475501;47777.8444475501
12;15;30;"Abies alba";"G";12.3309224332721;2.05649067175876;0.492330506989359;0.5;59258.3268579784;59258.3268579784
