"","species","a1","a2","comp"
"1","Abies alba",2.08764603887682,0.626656010450217,0.00552950743037358
"2","Abies alba",2.15618057550784,0.619575786574098,0.00572793537973759
"3","Abies alba",2.1314996218265,0.619291022887538,0.00605732192581379
"4","Abies alba",2.12491539701519,0.624971980827799,0.00491542300956351
"5","Abies alba",2.05279958512326,0.626017916809282,0.0066377568342328
"6","Abies alba",2.15675223403267,0.619981013551641,0.0053926575159316
"7","Abies alba",2.07855109226547,0.628161064893206,0.00556522363645912
"8","Abies alba",2.06720834009823,0.629324684218624,0.00555153608959907
"9","Abies alba",2.17796445755052,0.614643148078482,0.00577403583164901
"10","Abies alba",2.1948013035356,0.616221798259486,0.00519165240767257
"11","Abies alba",2.12193669146236,0.621433217978025,0.00582787121718276
"12","Abies alba",2.19113715305415,0.614790848868468,0.00585408758232312
"13","Abies alba",2.1026959013536,0.621639187831523,0.00626487359722996
"14","Abies alba",2.04320878592534,0.631443615322912,0.00564990889420256
"15","Abies alba",2.20323643098244,0.608946448502642,0.00684625450768413
"16","Abies alba",2.1302415710038,0.621647153564391,0.00557970520110912
"17","Abies alba",2.21056073617248,0.611767389465184,0.00598806668009126
"18","Abies alba",2.07341873601604,0.627800763070261,0.00602712061060618
"19","Abies alba",2.17834824919219,0.615013756734391,0.00604825942328385
"20","Abies alba",2.13396968753962,0.624636807043943,0.00498676612055493
"21","Abies alba",2.2006290962389,0.611896117564713,0.00616181088089451
"22","Abies alba",2.14004128833983,0.619830204039415,0.00588380127203304
"23","Abies alba",2.12900331046975,0.620766194153152,0.00600977463212141
"24","Abies alba",2.04444634337017,0.632021035860932,0.00555159194937646
"25","Abies alba",2.21913179197615,0.613987695600284,0.005524656944285
"26","Abies alba",2.20279538005567,0.609318495750178,0.00654363134650132
"27","Abies alba",2.12728686094429,0.621233431968748,0.005834691686834
"28","Abies alba",2.0665182503394,0.627265209266878,0.00602513775009196
"29","Abies alba",2.23663469148201,0.60734304833127,0.00622559849999538
"30","Abies alba",2.15742572459221,0.617763098653853,0.00592977618107683
"31","Abies alba",2.06635080461452,0.627407168620266,0.00616606580591878
"32","Abies alba",2.13642280232339,0.620028027584811,0.00560098645904107
"33","Abies alba",2.10898409248581,0.625436233184383,0.00548690134871376
"34","Abies alba",2.26596349888269,0.603704953307118,0.00650810529916994
"35","Abies alba",2.15860468011544,0.618728012557296,0.00565846719597632
"36","Abies alba",2.08000158436192,0.628812249261404,0.00548628724984701
"37","Abies alba",2.15371655659753,0.616982707786706,0.00630289358107212
"38","Abies alba",2.13620667437856,0.619674149538025,0.00611815533061537
"39","Abies alba",2.14526846140564,0.618810178370442,0.005661251391257
"40","Abies alba",2.02782909619935,0.635188704238686,0.0051297044373318
"41","Abies alba",2.05661102052128,0.629333478050173,0.00569004324255038
"42","Abies alba",2.22816459593644,0.611225202728235,0.00552760295525821
"43","Abies alba",2.08100499526512,0.625483464350338,0.00605127674610713
"44","Abies alba",2.16434033157159,0.619418829860279,0.00544426109523648
"45","Abies alba",2.14945210506973,0.617703752146253,0.00614043936772557
"46","Abies alba",2.14003858316779,0.620308314671636,0.00589233597894584
"47","Abies alba",2.24821209759917,0.606002225145032,0.00669128477633382
"48","Abies alba",2.08489979669266,0.625823282644313,0.00567259137545839
"49","Abies alba",2.04620457409191,0.630456008227953,0.00577117128220606
"50","Abies alba",2.16976731330992,0.617705412628799,0.0057744558100997
"51","Abies alba",2.08548636184763,0.629964525283621,0.0048668580742756
"52","Abies alba",2.11588515085891,0.623549414583692,0.00556838819377393
"53","Abies alba",2.0705243544321,0.627419503553046,0.00606382773615758
"54","Abies alba",2.14593852320105,0.617001040052152,0.00633259710798752
