"","species","a1","a2","comp"
"1215","Carya alba",0.499569654641884,0.808599121266939,0.000563937554862733
"1216","Carya alba",0.51734488243417,0.803571641563306,-0.00130792027594186
"1217","Carya alba",0.336096412770439,0.893796993502429,0.00299025580072185
"1218","Carya alba",0.663567612368964,0.727921567765854,0.000551154486221668
"1219","Carya alba",1.23376056316631,0.572483275789311,-0.00430118062583547
"1220","Carya alba",0.390334036430143,0.889174223391077,0.000481055177724033
"1221","Carya alba",0.641298963312218,0.759560592518128,-0.00110330487304163
"1222","Carya alba",0.965257507366274,0.625444881770544,-0.00114969361666006
"1223","Carya alba",1.07989785399036,0.612291316414226,-0.00927404897230492
"1224","Carya alba",0.530233515252559,0.772694811975156,0.00332902382911109
"1225","Carya alba",0.860494751318108,0.658128685125639,-0.0026527933698224
"1226","Carya alba",0.285643179570275,0.935734749546557,0.0019073593893301
"1227","Carya alba",0.71792441718818,0.737722901010257,-0.00765114194303374
"1228","Carya alba",0.598108100421922,0.742307484267248,0.00100826671360899
"1229","Carya alba",0.924393918206684,0.670027923163975,-0.00988007487408778
"1230","Carya alba",0.593716816257053,0.770027163983069,-0.00476589979338938
"1231","Carya alba",0.895857033696504,0.657534210720224,-0.000535012264454279
"1232","Carya alba",0.817979983036865,0.683960469206182,-0.005076771776403
"1233","Carya alba",0.672953035488615,0.700735892268289,4.41979409891412e-05
"1234","Carya alba",1.0001995169762,0.612847512713425,-0.00691470339915965
"1235","Carya alba",1.28496952295589,0.54971549474642,-0.00161010283441696
"1236","Carya alba",0.81132430310057,0.698793058986171,-0.00429655715144897
"1237","Carya alba",0.169257185730136,1.12350351451866,0.000342289396153358
"1238","Carya alba",0.859235226347348,0.68833761322495,-0.00786243263115739
"1239","Carya alba",0.833518627565198,0.662183186174416,0.000252942283099229
"1240","Carya alba",0.635348380411076,0.715663055154238,0.00205545201615155
"1241","Carya alba",0.598900641761981,0.729868719281613,0.00429093068447695
"1242","Carya alba",0.698212267468075,0.717203151691552,-0.000548999465207586
"1243","Carya alba",0.979999257815887,0.617091537347785,-0.00507555742088487
"1244","Carya alba",0.128176936257454,1.16868471808046,0.00288824841873012
"1245","Carya alba",0.205099981808733,1.04595847736833,0.00272251997830843
"1246","Carya alba",0.361424229329343,0.851856496906484,0.00527360196021094
"1247","Carya alba",0.321072838035634,0.931633602243116,0.00142948413538795
"1248","Carya alba",0.467468093841217,0.833622330615224,-0.000263504598557121
"1249","Carya alba",0.757937209425835,0.700219919352167,-0.00243861600251349
"1250","Carya alba",1.10818689493796,0.596787420032518,-0.00522181974132862
"1251","Carya alba",0.931201244733857,0.647649462630015,-0.000733164602660894
"1252","Carya alba",1.21469570801862,0.558304754706812,-0.00740772403760935
"1253","Carya alba",1.25156451595205,0.569019261161807,-0.00204053886913451
"1254","Carya alba",1.46784218075766,0.547132680644108,-0.018096816078717
"1255","Carya alba",1.08176408505721,0.611732742546937,-0.00296097520847045
"1256","Carya alba",1.50216613322732,0.447321223479863,-0.00439250914831028
"1257","Carya alba",0.140294740838152,1.13428220448221,0.00150804745076524
"1258","Carya alba",0.419154517148571,0.829054155172557,0.00314066174973897
"1259","Carya alba",1.00607688164837,0.612956411458842,0.00187993295435287
"1260","Carya alba",1.12389349159519,0.613030191391386,-0.00857420424332583
"1261","Carya alba",1.85359311221623,0.48614669501416,-0.0273641516622428
"1262","Carya alba",0.622448970944386,0.729491126668313,0.00143146166363129
"1263","Carya alba",0.524786143758204,0.795338082966528,0.000179979256637687
"1264","Carya alba",0.728216723820519,0.683048543815672,0.00206395638862302
"1265","Carya alba",0.745946596400188,0.694364092047355,-0.000947105361510188
"1266","Carya alba",0.489843087712911,0.784444234427043,0.00718500208916828
"1267","Carya alba",0.614733793415932,0.727749735068816,0.00225465372804464
"1268","Carya alba",1.20577636021549,0.578209794965527,-0.0104171237752937
"1269","Carya alba",1.25176590465498,0.596077506565953,-0.0140183538857762
"1270","Carya alba",0.722786595883689,0.709959978750199,0.000309528276564559
"1271","Carya alba",0.869589368152821,0.676172972789176,-0.00174329947237812
"1272","Carya alba",0.416612990151027,0.830880350286848,0.0032643029120099
"1273","Carya alba",0.219905260847774,1.01495397851513,0.00289682027062742
"1274","Carya alba",0.679660962272551,0.737255736200569,-0.00274955748564796
"1275","Carya alba",0.226054930309853,1.03245867587018,0.00238698648432006
"1276","Carya alba",0.488891634763085,0.823759509824701,0.000837073347453993
"1277","Carya alba",1.11889300158714,0.600512335750314,-0.00406725220087402
"1278","Carya alba",0.594372423916189,0.777544496352014,-0.00355987947864548
"1279","Carya alba",0.197549092602687,1.04614632258226,0.00198610705061221
"1280","Carya alba",0.122436480250366,1.15409956020567,0.00305282348066439
"1281","Carya alba",0.232344522141801,0.95295335256041,0.00587013762938562
"1282","Carya alba",0.229110097927928,0.983268161713791,0.00388821953292111
"1283","Carya alba",0.83050925069773,0.671284187133874,-0.00242530619758933
