"","species","a1","a2"
"1","Abies alba",2.60450894576964,0.592362597154212
"2","Abies alba",2.58169963813257,0.597772902113679
"3","Abies alba",2.52588982524829,0.601584558842058
"4","Abies alba",2.49959488117449,0.600227741386148
"5","Abies alba",2.56033815362458,0.593790121152091
"6","Abies alba",2.5162304519563,0.604582235214977
"7","Abies alba",2.53259794953225,0.598622986010867
"8","Abies alba",2.52924930936094,0.598566496105788
"9","Abies alba",2.64900571145735,0.593490857639755
"10","Abies alba",2.74245308611148,0.585352723982682
"11","Abies alba",2.55851858233477,0.595861593959488
"12","Abies alba",2.50993879062564,0.59984904572036
"13","Abies alba",2.57778521612412,0.589646256456865
"14","Abies alba",2.5481254007959,0.605152510257285
"15","Abies alba",2.56961974425231,0.591550121600761
"16","Abies alba",2.66644145804938,0.589940083925124
"17","Abies alba",2.56714111268276,0.59487741440905
"18","Abies alba",2.63074081767219,0.586619390236777
"19","Abies alba",2.68431103334437,0.591566697006823
"20","Abies alba",2.54649535450875,0.59395741166836
"21","Abies alba",2.62802301682942,0.588717545658263
"22","Abies alba",2.57526712861182,0.59429778015248
"23","Abies alba",2.57255116858079,0.596981655817188
"24","Abies alba",2.65867114460749,0.586639568970121
"25","Abies alba",2.51178132825531,0.599418709049559
"26","Abies alba",2.5004833792808,0.601593929303409
"27","Abies alba",2.56625715773215,0.593325936674177
"28","Abies alba",2.58485265503072,0.598393977005608
"29","Abies alba",2.69208189857625,0.585392488302599
"30","Abies alba",2.56524876921234,0.596379167830441
"31","Abies alba",2.52842406969034,0.599443712631312
"32","Abies alba",2.50299666310467,0.598172257384263
"33","Abies alba",2.5472202133856,0.594050480689572
"34","Abies alba",2.61307529342821,0.589840295184661
"35","Abies alba",2.56969325092324,0.595218004701484
"36","Abies alba",2.49883441396471,0.599396763523889
"37","Abies alba",2.57579690726215,0.592338733968615
"38","Abies alba",2.62397335457876,0.592454445349299
"39","Abies alba",2.51288237945939,0.603596878639728
"40","Abies alba",2.70019033562702,0.582588055960281
"41","Abies alba",2.56749980934397,0.596313556707242
"42","Abies alba",2.47732107200114,0.603521425233663
"43","Abies alba",2.69228713965853,0.585141838168694
"44","Abies alba",2.66996726151565,0.588654990055837
"45","Abies alba",2.63220339112511,0.588820726843747
"46","Abies alba",2.51355409101462,0.598901661212307
"47","Abies alba",2.61921279358899,0.591476350201068
"48","Abies alba",2.55880766259558,0.595340569719386
"49","Abies alba",2.56975185391891,0.594276987784456
"50","Abies alba",2.54022874323912,0.59835591458008
"51","Abies alba",2.566583490559,0.594782535534526
"52","Abies alba",2.58995577427717,0.593531313120879
"53","Abies alba",2.52255597788319,0.596920042310638
"54","Abies alba",2.54241683284028,0.595233787161344
"55","Abies alba",2.67706014151858,0.591632034235332
"56","Abies alba",2.64422693091527,0.586200480087761
"57","Abies alba",2.49958382119428,0.601730819841373
"58","Abies alba",2.58757290829048,0.598377880772962
"59","Abies alba",2.54346514438096,0.598284125607333
"60","Abies alba",2.58200827952388,0.591605292256719
"61","Abies alba",2.56400128766064,0.597677185814422
"62","Abies alba",2.58007197491507,0.592712022869067
"63","Abies alba",2.68657279180626,0.589191480606226
"64","Abies alba",2.56465410188368,0.594580490231365
"65","Abies alba",2.52403673894053,0.599873482863044
"66","Abies alba",2.5751487354714,0.598717317903586
"67","Abies alba",2.65121035676006,0.588671408635851
"68","Abies alba",2.61499849558041,0.592350185374251
"69","Abies alba",2.65659842934516,0.583947763082696
"70","Abies alba",2.53655269357664,0.596363269919289
"71","Abies alba",2.55601544614655,0.596191531477895
"72","Abies alba",2.54362411536812,0.596408450649352
"73","Abies alba",2.75367451858997,0.584614378782931
"74","Abies alba",2.56471968989546,0.594956717949918
"75","Abies alba",2.56223999946001,0.596011537039699
"76","Abies alba",2.65146968742463,0.585729306970922
"77","Abies alba",2.49497586687536,0.603100050979386
"78","Abies alba",2.52969441191268,0.599291172111211
"79","Abies alba",2.75506245568952,0.578923457659207
"80","Abies alba",2.53329641165802,0.599809506460635
"81","Abies alba",2.68782084285949,0.584060289607118
"82","Abies alba",2.55688038980125,0.593646483156636
"83","Abies alba",2.56625698546104,0.596111575983012
"84","Abies alba",2.62681575039545,0.588855482228219
"85","Abies alba",2.57306746004444,0.596419839501708
"86","Abies alba",2.61735323003034,0.591652546085869
"87","Abies alba",2.63752921537815,0.586709622566581
"88","Abies alba",2.68121517086829,0.57990608698626
"89","Abies alba",2.48995971081674,0.607318258117322
"90","Abies alba",2.58067659234918,0.593028210821491
"91","Abies alba",2.58014772306697,0.595259144394195
"92","Abies alba",2.50459708631057,0.598584232533978
"93","Abies alba",2.62437628311663,0.588019656949083
"94","Abies alba",2.51330936511038,0.595852399970863
"95","Abies alba",2.67122374394081,0.589942492598414
"96","Abies alba",2.54867027989307,0.59646266389116
"97","Abies alba",2.56867100434879,0.590520003150459
"98","Abies alba",2.59798353004893,0.592754583317135
"99","Abies alba",2.52627061767444,0.595459862649661
"100","Abies alba",2.56518472438992,0.594873665262322
"101","Abies amabilis",1.38072463700192,0.764237693717602
"102","Abies amabilis",1.44775020788014,0.751352799682843
"103","Abies amabilis",1.37251132373574,0.764245030659303
"104","Abies amabilis",1.37966153400996,0.764469507058048
"105","Abies amabilis",1.42949546478593,0.755928756142412
"106","Abies amabilis",1.3793835593908,0.765376515847041
"107","Abies amabilis",1.46301775379408,0.751329558075545
"108","Abies amabilis",1.4996386466612,0.745188465760526
"109","Abies amabilis",1.46970109277076,0.750118836024801
"110","Abies amabilis",1.40173359090085,0.759197134052079
