"","species","a1","a2"
"1","Abies alba",2.53181876545148,0.594782535534526
"2","Abies alba",2.55363778455018,0.592754583317135
"3","Abies alba",2.51479597899564,0.59646266389116
"4","Abies alba",2.52606262022283,0.593646483156636
"5","Abies alba",2.52553509699861,0.595340569719386
"6","Abies alba",2.39413618685252,0.607318258117322
"7","Abies alba",2.53724728109996,0.593490857639755
"8","Abies alba",2.56889787516892,0.589840295184661
"9","Abies alba",2.55822597911358,0.591476350201068
"10","Abies alba",2.49063278835868,0.598566496105788
"11","Abies alba",2.49031730024084,0.599291172111211
"12","Abies alba",2.55200189211531,0.592362597154212
"13","Abies alba",2.52636494179309,0.594956717949918
"14","Abies alba",2.52565778192239,0.59429778015248
"15","Abies alba",2.46200291281797,0.601584558842058
"16","Abies alba",2.5162646223736,0.595233787161344
"17","Abies alba",2.52951917565391,0.593028210821491
"18","Abies alba",2.4371068338684,0.603596878639728
"19","Abies alba",2.48304143548552,0.598717317903586
"20","Abies alba",2.58642865649385,0.588717545658263
"21","Abies alba",2.5113776998812,0.595852399970863
"22","Abies alba",2.48207230835946,0.598584232533978
"23","Abies alba",2.57618305555008,0.588671408635851
"24","Abies alba",2.55855840888453,0.591652546085869
"25","Abies alba",2.49319484442808,0.598172257384263
"26","Abies alba",2.63395834379483,0.584060289607118
"27","Abies alba",2.52047319360109,0.59487741440905
"28","Abies alba",2.47436136009201,0.599396763523889
"29","Abies alba",2.49529055116612,0.597772902113679
"30","Abies alba",2.61652681415948,0.585729306970922
"31","Abies alba",2.62530226582877,0.585141838168694
"32","Abies alba",2.53706396548542,0.593325936674177
"33","Abies alba",2.4861684932449,0.59835591458008
"34","Abies alba",2.68080799731969,0.578923457659207
"35","Abies alba",2.62434639725726,0.585352723982682
"36","Abies alba",2.48850341821998,0.599443712631312
"37","Abies alba",2.53995811581223,0.592338733968615
"38","Abies alba",2.66759183331828,0.57990608698626
"39","Abies alba",2.46194571107415,0.601730819841373
"40","Abies alba",2.52529449058447,0.59395741166836
"41","Abies alba",2.61052493810171,0.586639568970121
"42","Abies alba",2.62910881006181,0.583947763082696
"43","Abies alba",2.56067129963293,0.590520003150459
"44","Abies alba",2.50360773477806,0.596981655817188
"45","Abies alba",2.4938572104929,0.598284125607333
"46","Abies alba",2.44850801804353,0.603521425233663
"47","Abies alba",2.47850765962788,0.598901661212307
"48","Abies alba",2.53161035571655,0.592712022869067
"49","Abies alba",2.57000269217113,0.589942492598414
"50","Abies alba",2.50349994951408,0.597677185814422
"51","Abies alba",2.53062004248461,0.593790121152091
"52","Abies alba",2.52688892760183,0.594873665262322
"53","Abies alba",2.58213070436015,0.589191480606226
"54","Abies alba",2.50453681539376,0.596111575983012
"55","Abies alba",2.58426114242907,0.588820726843747
"56","Abies alba",2.50663085402111,0.596920042310638
"57","Abies alba",2.53540562554718,0.594276987784456
"58","Abies alba",2.52421753839611,0.595259144394195
"59","Abies alba",2.42312739964764,0.605152510257285
"60","Abies alba",2.51833856362791,0.594050480689572
"61","Abies alba",2.44864778473894,0.601593929303409
"62","Abies alba",2.51217802432371,0.596363269919289
"63","Abies alba",2.47717412696334,0.599809506460635
"64","Abies alba",2.4213316169918,0.604582235214977
"65","Abies alba",2.57178718209033,0.589940083925124
"66","Abies alba",2.51813806880811,0.596011537039699
"67","Abies alba",2.51429692185733,0.596313556707242
"68","Abies alba",2.51524706334208,0.595459862649661
"69","Abies alba",2.50650828362588,0.596408450649352
"70","Abies alba",2.55816921936673,0.591566697006823
"71","Abies alba",2.49215785025156,0.598377880772962
"72","Abies alba",2.5752912204684,0.589646256456865
"73","Abies alba",2.49886376891131,0.598622986010867
"74","Abies alba",2.6204081044935,0.585392488302599
"75","Abies alba",2.50259314284185,0.596419839501708
"76","Abies alba",2.49511729672555,0.598393977005608
"77","Abies alba",2.53619197938192,0.592454445349299
"78","Abies alba",2.47396509394038,0.59984904572036
"79","Abies alba",2.43981443231375,0.603100050979386
"80","Abies alba",2.55137959926096,0.591550121600761
"81","Abies alba",2.47161174200616,0.599873482863044
"82","Abies alba",2.52662460393791,0.594580490231365
"83","Abies alba",2.62930301657116,0.584614378782931
"84","Abies alba",2.51886765045504,0.595218004701484
"85","Abies alba",2.50015809203296,0.596379167830441
"86","Abies alba",2.55155500713292,0.592350185374251
"87","Abies alba",2.55390032504735,0.591632034235332
"88","Abies alba",2.5101497037655,0.596191531477895
"89","Abies alba",2.59531856010142,0.588654990055837
"90","Abies alba",2.4713108978346,0.600227741386148
"91","Abies alba",2.59990723669794,0.586709622566581
"92","Abies alba",2.58966253312142,0.588019656949083
"93","Abies alba",2.51374180810614,0.595861593959488
"94","Abies alba",2.57767076889239,0.588855482228219
"95","Abies alba",2.60429744583336,0.586619390236777
"96","Abies alba",2.55572017960694,0.591605292256719
"97","Abies alba",2.61695110871141,0.586200480087761
"98","Abies alba",2.64753799481133,0.582588055960281
"99","Abies alba",2.54061100046824,0.593531313120879
"100","Abies alba",2.46903320683587,0.599418709049559
"101","Abies amabilis",1.50052950356243,0.74584525250884
"102","Abies amabilis",1.47075056508937,0.749304057328514
"103","Abies amabilis",1.59391756439174,0.731445394069411
"104","Abies amabilis",1.47626631278283,0.748408564538373
"105","Abies amabilis",1.41721975659483,0.760164952872996
"106","Abies amabilis",1.42833959729478,0.757930578867903
"107","Abies amabilis",1.39607368031095,0.764217118862117
"108","Abies amabilis",1.42285022189373,0.756074889826573
"109","Abies amabilis",1.37018936621856,0.766131273890706
"110","Abies amabilis",1.46970109277076,0.750118836024801
