"","(Intercept)","sh","sla","ssd","df","logLik","AICc","delta","weight"
"7",-0.62544980664685,NA,0.765427836390648,0.249761701514436,4,-60.6244077309191,130.498815461838,0,0.314322870386509
"3",-0.709183441003242,NA,0.695056534650189,NA,3,-61.9791181358583,130.685508998989,0.186693537151086,0.286309656082874
"8",-0.641209005387872,-0.21340366862983,0.755759193406584,0.244679792243282,5,-59.7249384908948,131.385360852757,0.886545390918968,0.201773950084749
"4",-0.723687142150041,-0.22020917924477,0.686557064746639,NA,4,-61.0886171919414,131.427234383883,0.928418922044557,0.197593372789762
"1",-1.37000633521502,NA,NA,NA,2,-78.5001706832307,161.353282542932,30.8544670810938,6.27210881158577e-08
"2",-1.37879967449534,-0.301481779876472,NA,NA,3,-77.8174949031204,162.362262533513,31.8634470716752,3.78718362651288e-08
"5",-1.38487201850475,NA,NA,-0.220632576719288,3,-77.9884190656258,162.704110858524,32.2052953966861,3.19216213952312e-08
"6",-1.39354757472794,-0.300238461323252,NA,-0.219422691571179,4,-77.2921334767082,163.834266953416,33.3354514915782,1.81415614631369e-08
