"","(Intercept)","mat","petp","df","logLik","AICc","delta","weight"
"2",0.13183614316237,0.599596373156417,NA,3,-36.640036404163,80.6134061416594,0,0.486589908470757
"1",-0.157660554335005,NA,NA,2,-38.6067232512426,81.8450254498536,1.23161930819415,0.262857493937169
"4",0.0687347407756554,0.599531063341531,-0.234255231692917,4,-36.2607535109589,82.8744481983884,2.26104205672894,0.157102846308346
"3",-0.220770100420846,NA,-0.234402598995711,3,-38.2900342230298,83.9134017793929,3.29999563773347,0.0934497512837286
