"","(Intercept)","mat","petp","df","logLik","AICc","delta","weight"
"4",0.00990494770211124,-1.28890632598498,1.65495535562521,4,-66.8344141802981,142.918828360596,0,0.999997583655185
"3",-0.271339187551845,NA,1.31905606284278,3,-81.1155667039631,168.958406135199,26.0395777746027,2.21603431597886e-06
"2",-0.760300978296821,-0.958749716381179,NA,3,-83.5550511140861,173.837374955445,30.9185465948487,1.93251050453197e-07
"1",-0.858317322471596,NA,NA,2,-88.051840140852,180.456621458175,37.5377930975783,7.05944807292387e-09
