"","(Intercept)","mat","petp","df","logLik","AICc","delta","weight"
"3",0.0410016366831899,NA,0.854656644694168,3,-33.4482850920351,74.2299035174035,0,0.756183343971191
"4",0.102191720131853,-0.154412542374732,0.947680740130502,4,-33.0763059952428,76.5055531669561,2.27564964955261,0.242368438250567
"1",-0.219325058351092,NA,NA,2,-41.5335333582913,87.6986456639509,13.4687421465474,0.000899346214456347
"2",-0.279819634246987,0.284312402915888,NA,3,-40.67645976788,88.6862528690934,14.4563493516899,0.000548871563785624
