"","(Intercept)","sh","sla","ssd","df","logLik","AICc","delta","weight"
"4",-0.41814011081703,0.395129297152791,-0.255792333054889,NA,4,-43.6219090802809,96.4938181605618,0,0.56541931806101
"2",-0.491147240435461,0.325290267293495,NA,NA,3,-46.0446538931349,98.8165805135426,2.32276235298075,0.177006496493748
"8",-0.401824303970507,0.375911616533657,-0.251339244832117,0.0537567038274435,5,-43.4727895149778,98.8810629009233,2.38724474036141,0.171390613604716
"6",-0.468344723970601,0.301949589306606,NA,0.0696993752640944,4,-45.8231463378861,100.896292675772,4.40247451521026,0.0625727796795409
"1",-0.601404323338692,NA,NA,NA,2,-50.2851472350483,104.923235646567,8.42941748600539,0.00835498919444459
"5",-0.53085192438538,NA,NA,0.160105635070857,3,-49.2287546497271,105.184782026727,8.69096386616501,0.00733080753754028
"3",-0.576690228232575,NA,-0.128137228735063,NA,3,-49.781399889834,106.290072506941,9.79625434637894,0.0042183347389949
"7",-0.503657206099743,NA,-0.133473567530993,0.16339930189875,4,-48.6493453042817,106.548690608563,10.0548724480016,0.00370666069000528
