"","est.inf","est.sup","est","p.value","mod","sign","group"
"height",0.37683491046821,0.442566841947601,0.409700876207905,1.83836952219601e-20,"height","***","angio"
"ratio",0.27937089394492,0.393065412916237,0.336218153430578,1.91903685193972e-12,"ratio","***","angio"
"diam",0.79124967868143,0.909784081803565,0.850516880242497,4.66416931412693e-22,"diam","***","angio"
"height1",0.303189200848804,0.492971580973456,0.39808039091113,1.36840091020092e-07,"height","***","gymno"
"ratio1",0.17146924890467,0.395327370380368,0.283398309642519,6.28633317741956e-05,"ratio","***","gymno"
"diam1",0.751620128138677,0.998815732992001,0.875217930565339,7.55404260611784e-11,"diam","***","gymno"
