"","intercept","b","p.value","group"
"height",0.0172421435187758,-0.000350877494079817,0.558927646847455,"angio"
"ratio",-0.0177260101246503,0.00217249582594624,0.000263788004303964,"angio"
"diameter",-0.00416046179376345,0.00187910779120411,0.0986087844890264,"angio"
"height1",0.0211149902094075,-0.00288668452508779,0.00130577149468893,"gymno"
"ratio1",-0.0269939509307691,0.00255056418209714,0.0700535773803396,"gymno"
"diameter1",0.000632586821236689,-0.000321960377312512,0.79611121075874,"gymno"
