"","(Intercept)","sh","sla","ssd","df","logLik","AICc","delta","weight"
"8",-0.429754812115269,0.597664571845794,-0.516687908144241,-0.429258502608957,5,-31.5825973248158,76.9151946496317,0,0.513805160882942
"6",-0.471996438929562,0.617372972389082,NA,-0.4240434314274,4,-33.6710874956518,77.6951161677742,0.779921518142515,0.347888967546772
"7",-0.490893271816343,NA,-0.548982361809302,-0.547788576567011,4,-35.2546945043376,80.8623301851458,3.94713553551416,0.0713984643495547
"5",-0.538014333247658,NA,NA,-0.546397591752546,3,-36.9760331671744,81.2853996676821,4.37020501805046,0.0577857161749344
"2",-0.740023797253332,0.960361781256776,NA,NA,3,-39.343663364446,86.0206600622253,9.10546541259367,0.00541466721738828
"4",-0.702969365066862,0.945623687530361,-0.491601616586522,NA,4,-38.263549420465,86.8800400174007,9.964845367769,0.00352338242802568
"1",-1.00559263668089,NA,NA,NA,2,-44.5344934831403,93.700565913649,16.7853712640173,0.000116386177254365
"3",-0.960461420311013,NA,-0.53942625873961,NA,3,-43.7320353834897,94.7974041003128,17.8822094506811,6.72552231284535e-05
