"","(Intercept)","sh","sla","ssd","df","logLik","AICc","delta","weight"
"6",0.100462657675532,0.520625650774373,NA,0.399111108201312,4,-50.9106702160175,111.071340432035,0,0.712528499844278
"8",0.107227344449346,0.557347149838222,-0.0903367400336879,0.383992330869935,5,-50.7955454940847,113.526574859137,2.45523442710214,0.208763638885104
"2",-0.0296324171483624,0.707670301012867,NA,NA,3,-54.7749623741468,116.277197475566,5.20585704353128,0.0527672846280943
"4",-0.00279561479235993,0.775689435844237,-0.207336318195626,NA,4,-54.2506444182216,117.751288836443,6.67994840440818,0.0252504937230971
"7",0.197674784931662,NA,0.382180886408261,0.74704350007585,4,-58.2419725620805,125.733945124161,14.6626046921259,0.000466506915333472
"5",0.279811363101172,NA,NA,0.80385835821587,3,-60.2389892407952,127.205251208863,16.133910776828,0.000223546579490395
"3",-0.0328039046483176,NA,0.592638540761404,NA,3,-69.3748025887933,145.476877904859,34.4055374728242,2.40843374932448e-08
"1",0.0717613767193828,NA,NA,NA,2,-72.0682547730472,148.489450722565,37.4181102905299,5.34026524893461e-09
