"","(Intercept)","sh","sla","ssd","df","logLik","AICc","delta","weight"
"2",-0.148202603049233,-0.388520729624069,NA,NA,3,-36.7732195455489,80.8797724244311,0,0.380757697785614
"1",-0.157660554335005,NA,NA,NA,2,-38.6067232512426,81.8450254498536,0.965253025422442,0.234988528083687
"6",-0.215598518894908,-0.452666924944852,NA,-0.309021828361067,4,-36.3152621854241,82.9834655473187,2.10369312288762,0.132995680141456
"4",-0.160798795465492,-0.386165384295189,-0.0547291674774992,NA,4,-36.7467887976667,83.846518771804,2.96674634737286,0.0863829255483477
"3",-0.175893757247408,NA,-0.0795836628622704,NA,3,-38.5592389025491,84.4518111384315,3.57203871400037,0.0638249290822254
"5",-0.173996465671534,NA,NA,-0.073206775858305,3,-38.5828052392219,84.498943811777,3.61917138734592,0.0623383942037802
"8",-0.212028515946613,-0.456787645667557,0.0286866261263889,-0.322925755259269,5,-36.3086456703785,86.367291340757,5.48751891632584,0.0244934014042445
"7",-0.183434789133691,NA,-0.0685675347407963,-0.0451042762739975,4,-38.5510388554758,87.4550188874222,6.57524646299106,0.0142184437506453
