"","(Intercept)","mat","petp","df","logLik","AICc","delta","weight"
"4",-0.493722972660947,-0.326299124880777,1.02154456399248,4,-62.1971518401916,133.644303680383,0,0.781690690167778
"3",-0.597995870623357,NA,1.04271398927632,3,-64.7340704369606,136.195413601194,2.5511099208106,0.218307400816114
"2",-1.22956806735204,-0.382044563035848,NA,3,-76.8817191125769,160.490710952426,26.8464072720431,1.15720864925855e-06
"1",-1.37000633521502,NA,NA,2,-78.5001706832307,161.353282542932,27.7089788625487,7.51807458637249e-07
