"","(Intercept)","mat","petp","df","logLik","AICc","delta","weight"
"2",-0.417287670949706,-0.559775924145751,NA,3,-36.059564185434,79.4524617042013,0,0.531749677639845
"4",-0.322322310670612,-0.379606566726686,-0.402205077515051,4,-34.9926813361567,80.338303848784,0.885842144582696,0.34146725054325
"3",-0.38258965929197,NA,-0.881322257030291,3,-37.4966436102458,82.326620553825,2.87415884962367,0.126354749485834
"1",-1.00559263668089,NA,NA,2,-44.5344934831403,93.700565913649,14.2481042094477,0.000428322331070014
