"","(Intercept)","diam","height","ratio","df","logLik","AICc","delta","weight"
"8",0.0306621861553013,0.850516880242498,0.409700876207905,0.336218153430578,5,14.4187806928107,-16.4375613856215,0,0.999999999998829
"4",0.0429921290328279,0.946941699516174,0.31480619986635,NA,4,-14.4848948303399,38.5082511991413,54.9458125847627,1.17130067988399e-12
"2",-0.089944829141342,1.02727047460191,NA,NA,3,-35.6196606689273,78.1282102267435,94.565771612365,2.91946723740839e-21
"6",-0.0884279799786843,1.02936070277489,NA,-0.00973225879944053,4,-35.6159750245631,80.7704115875877,97.2079729732092,7.79034821595729e-22
"7",-0.0183975585904431,NA,0.523871386417253,0.560627445261392,4,-39.8292186862538,89.1968989109691,105.634460296591,1.15283830225885e-23
"3",-0.00618848190725922,NA,0.376035384537561,NA,3,-46.0674012576372,99.0236914041632,115.461252789785,8.47047021906881e-26
"1",-0.172712345355398,NA,NA,NA,2,-52.8630614756329,110.154694379837,126.592255765459,3.24220846013453e-28
"5",-0.194164720278591,NA,NA,0.154830953224772,3,-52.5422367105438,111.973362309976,128.410923695598,1.3059369546054e-28
