"","(Intercept)","sh","sla","ssd","df","logLik","AICc","delta","weight"
"4",0.088611098499712,-0.254894309517128,1.39535810526923,NA,4,-52.9142338248688,115.078467649738,0,0.485578825200419
"3",0.0725621162063017,NA,1.38759312635017,NA,3,-54.7640630840415,116.255398895356,1.17693124561804,0.269582916396831
"8",0.0915035661128589,-0.268240451021149,1.39847774318645,0.0236524150840274,5,-52.9021095906581,117.739703052284,2.6612354025464,0.128345254316772
"7",0.0620103966142818,NA,1.37364311477759,-0.121615652569,4,-54.3417442377892,117.933488475578,2.8550208258408,0.116493004085971
"1",-0.858317322471596,NA,NA,NA,2,-88.051840140852,180.456621458175,65.3781538084369,3.08726580075004e-15
"5",-0.862106760427112,NA,NA,-0.386225485314575,3,-87.325475959685,181.378224646643,66.299756996905,1.94737877593343e-15
"2",-0.850706714370872,-0.178961331368295,NA,NA,3,-87.9075062128709,182.542285153015,67.4638175032769,1.08812278687419e-15
"6",-0.864542947161915,0.0511105409017554,NA,-0.412993325397272,4,-87.3168359851933,183.883671970387,68.805204320649,5.5641580637769e-16
