"","(Intercept)","diam","height","ratio","df","logLik","AICc","delta","weight"
"8",-0.00983285381399248,0.875217930565339,0.39808039091113,0.283398309642519,5,3.18797449055782,7.90976530459865,0,0.999794077922703
"4",-0.0101608700922765,0.741222771655962,0.361397730438811,NA,4,-7.11042870297113,24.8875240726089,16.9777587680103,0.000205701323481773
"6",-0.207474298637238,0.889537612966877,NA,0.211706707196551,4,-14.6343980268103,39.9354627202873,32.0256974156886,1.11075615023752e-07
"2",-0.193795248361933,0.786041020003487,NA,NA,3,-16.2309889266422,39.9619778532843,32.0522125486857,1.09612741171434e-07
"3",-0.191368695821128,NA,0.426195703287104,NA,3,-24.0051782510494,55.5103565020988,47.6005911975001,4.60864773452095e-11
"7",-0.184963819671185,NA,0.41663744764958,-0.0559707770220454,4,-23.9483247945576,58.5633162557819,50.6535509511832,1.00145566251037e-11
"1",-0.423364852364318,NA,NA,NA,2,-27.2737995326583,59.2534814182578,51.3437161136592,7.09192714854765e-12
"5",-0.394977705489949,NA,NA,-0.136877437643604,3,-27.0176424150562,61.5352848301124,53.6255195255138,2.26608893609009e-12
