"","(Intercept)","sh","sla","ssd","df","logLik","AICc","delta","weight"
"5",-0.203985127244336,NA,NA,0.407177163753328,3,-33.2877131761378,73.9087596856089,0,0.328936334492442
"1",-0.336983663269293,NA,NA,NA,2,-34.8210384618683,74.273655871105,0.364896185496065,0.274078929043976
"3",-0.305047703262213,NA,0.201920008311376,NA,3,-34.4239407612902,76.1812148559137,2.27245517030477,0.105597704643567
"7",-0.181203890972688,NA,0.173088546672722,0.393110421265381,4,-32.9552466781947,76.2634345328599,2.35467484725105,0.101344620822749
"6",-0.204285063166326,0.0376705898940764,NA,0.418280462919798,4,-33.2670752781132,76.887091732697,2.9783320470881,0.0741951063850448
"2",-0.332624445150875,-0.0418202691333526,NA,NA,3,-34.7975969025619,76.9285271384571,3.01976745284823,0.0726737679503976
"4",-0.297557045041742,-0.0604458230552546,0.209443768709179,NA,4,-34.3736696266816,79.1002804298339,5.19152074422496,0.0245350779773615
"8",-0.181718286632584,0.0188389141601201,0.170319896533478,0.398888143179711,5,-32.9500169454261,79.6500338908523,5.74127420524339,0.0186384586844624
