"","(Intercept)","mat","petp","df","logLik","AICc","delta","weight"
"3",0.248039594555802,NA,0.559107237245154,3,-69.2901744617213,145.307621650715,0,0.456008545324325
"2",0.282907353478832,0.39380559305954,NA,3,-69.7915198901433,146.310312507559,1.00269085684403,0.276211291200593
"4",0.296344525406,0.186315484311562,0.395472900367164,4,-68.9872603916856,147.224520783371,1.9168991326558,0.174873347399114
"1",0.0717613767193828,NA,NA,2,-72.0682547730472,148.489450722565,3.18182907184965,0.0929068160759689
