"","(Intercept)","sh","sla","ssd","df","logLik","AICc","delta","weight"
"6",-0.0933510686349691,0.727876293923673,NA,0.679549527719188,4,-32.4804924182843,75.3139260130391,0,0.778127455788409
"8",-0.024595446930133,0.677959057165194,0.225703867915075,0.675091764516472,5,-32.155622499185,78.06124499837,2.74731898533091,0.197005341585172
"5",-0.248238797593472,NA,NA,0.523953148356754,3,-38.2858451316803,83.9050235966939,8.59109758365477,0.0106051692130051
"7",-0.0599814766540513,NA,0.535293908516036,0.538688124660635,4,-37.0358899933147,84.4247211631001,9.11079515006095,0.00817836915268928
"2",-0.104957848960114,0.509225400206827,NA,NA,3,-39.60997608748,86.5532855082933,11.2393594952541,0.00282133615920054
"1",-0.219325058351092,NA,NA,NA,2,-41.5335333582913,87.6986456639509,12.3847196509118,0.00159126692993349
"3",-0.0476902361572165,NA,0.485930367246546,NA,3,-40.781832513493,88.8969983603194,13.5830723472802,0.000874025403500706
"4",-0.0220881609609077,0.450854615517327,0.271735153948074,NA,4,-39.3642384767586,89.0814181299877,13.7674921169486,0.000797035768089606
