"","species","a1_h_mean","a2_h_mean","ci_h_mean","a1_h_sd","a2_h_sd","ci_h_sd","a1_rcd_mean","a2_rcd_mean","ci_rcd_mean","a1_rcd_sd","a2_rcd_sd","ci_rcd_sd","a1_cd_mean","a2_cd_mean","ci_cd_mean","a1_cd_sd","a2_cd_sd","ci_cd_sd"
"34","Pseudotsuga menziesii",1.31575652930674,0.757973260688829,0.00860437409290855,0.0253665783734336,0.00436321854132814,0.00029424260633563,0.531516999449584,-0.0039205302952433,-0.0156271845287918,0.0274758400346603,0.000285740599546857,0.000478055143678225,0.894205463302613,0.543354072390921,-0.00217540759519123,0.222237905833766,0.0619438970750243,0.00149881209684359
"35","Quercus alba",2.1326534193256,0.642190662474807,0.0143396051320228,0.0439304460858574,0.00527510110706489,0.000591822459575149,-0.270700360455796,-3.41781236763429e-05,-0.0126971663997557,0.0261863592994122,0.000539265504772282,0.000924560420335138,0.537861507930315,0.777708813578658,6.90235288467655e-05,0.0953764266413016,0.0469040746772441,0.0014851888367653
"36","Quercus coccinea",3.05598367606987,0.552200925032617,0.0110591705506913,0.310269512790002,0.0239906922798731,0.00454052611954156,-0.434664753858016,0.000734711374998639,-0.010267564609431,0.0934458887058298,0.00159296414202156,0.00382359390637742,0.723549176033453,0.697726375326379,-0.00321453778593215,0.149482488652075,0.0545584402371049,0.00225877835734723
"37","Quercus falcata",2.26886359448139,0.624659663947518,0.0173873335395956,0.108466133368036,0.0122966940276909,0.00156716870971039,-0.300149226083319,-0.000219264014257654,-0.00995333461912195,0.054777416825818,0.00121979613097134,0.00225124676361748,0.589750216721781,0.766039579791429,-0.000689192785918127,0.160158614849428,0.079956101158979,0.00146000828855144
"38","Quercus ilex",2.55931961237755,0.292946755957282,0.0234058147833432,0.0895558970785868,0.00944106175455497,0.00314138698631917,0.146066085902737,-0.0132628124445839,-0.0109583172431471,0.808357746200866,0.015667592933599,0.0311298379598461,0.960508581055433,0.558500411652767,0.0025534763833023,0.0667336422103797,0.017570768861777,0.00217375203602032
"39","Quercus macrocarpa",2.74947314511408,0.507635650244496,0.0100715760082729,0.183894443589014,0.0175056311511601,0.00361650768065307,-0.0644010519777682,-0.0011684001653525,-0.0140684039939657,0.0779631210045212,0.0016705320743964,0.00340559966732679,0.621347817501772,0.718212296211296,0.0303765299008384,0.332785324705572,0.176522881379046,0.17862425248724
"40","Quercus michauxii",2.90958527704533,0.544494008825994,0.017821367296115,0.0943536782774225,0.00816442477447349,0.00100901298855458,-0.543852949044001,0.00347103282858461,-0.0100793729357598,0.0322461652321667,0.000630811709193273,0.00101209695175628,0.652460099680446,0.701322223573957,-6.71915599929662e-05,0.157218415579242,0.06182015936852,0.00228359507878376
"41","Quercus nigra",2.57206589515473,0.58533303504407,0.0176413843589288,0.102645917138961,0.0109976668793446,0.0014951411006988,-0.10842802755818,-0.00145046120818634,-0.00943354736294797,0.0494950259551755,0.00112689227875399,0.00177600863787913,1.13773738326958,0.623265963375723,-0.00882287246491565,0.427569248147534,0.106989078094008,0.00560258719465005
"42","Quercus petraea",3.14189142501196,0.511174207349087,0.0199796399939925,0.0537994835746602,0.00422266346094022,0.000781067055404445,1.1293857409103,-0.0132874685800994,-0.0158335148552443,0.37709348123217,0.00663396609883641,0.00843925137909839,1.60096539749446,0.395934704600783,0.00565040567054369,0.477727077263381,0.0721767531092736,0.00911997873421797
"43","Quercus robur",3.36595726137701,0.475798068370216,0.0128216268560587,0.0508102636625661,0.00374556285643557,0.000843612061589661,0.583816216690826,-0.0046500964304643,-0.0109073862115015,0.317304521584713,0.00559353975078259,0.00798146504489802,1.36013300944751,0.446735922887241,0.00924433754277429,0.18978588016105,0.0356964107673056,0.00332119663217886
"44","Quercus rubra",3.08284611834768,0.536942657329255,0.0161234476718253,0.0617885894564479,0.00502577667870575,0.000973723805373116,-0.360004524996116,-0.000535048725138845,-0.0117859862283453,0.027778078509927,0.000541911661495662,0.000839437418044688,0.7424811735409,0.68720294615411,-5.04049431309701e-05,0.236648831309617,0.0795380027436468,0.0027019116522285
"45","Quercus velutina",2.47005675887507,0.590428189853309,0.0178368490095557,0.0713236210620759,0.00766167864043517,0.00103161900371329,-0.331118040516914,-0.0016175115488584,-0.0137086096862774,0.0327603094461345,0.000626741859413824,0.00121917852881949,0.605896149283858,0.733508440187934,-0.00095863739110612,0.152715097766783,0.0666979223489521,0.00203569061377774
"46","Robinia pseudoacacia",3.21684799240945,0.518373868521943,0.0145548750193887,0.163419291272064,0.0135651672465083,0.00217059478608079,-0.765907793917776,-0.00394588539041128,-0.0146013238003525,0.0811560730537297,0.00203544750449913,0.00265453651821813,1.27675296412231,0.608467753498291,-0.0101988192060422,2.06993568578853,0.241626830739401,0.0511348742289199
"47","Salix",3.8564237437279,0.33706577263591,0.00626090361684915,0.791431862249306,0.0564858836037401,0.0104206864990047,-0.372899766857645,0.00803072882592693,-0.0372028045331301,0.989276783362656,0.0211214208000668,0.0516293856514322,7.36066789947569,0.0864358803573999,0.016741673807018,9.16946201064238,0.276563331020968,0.146946032952236
"48","Thuja occidentalis",1.65442734969143,0.604254262112977,0.00965104288376009,0.041615280462105,0.00699205256568096,0.000455192716822795,-0.179680670687416,0.00932774443696317,-0.00989817999877322,0.0475105642162713,0.00134497972438886,0.00113504802042979,0.638203994527679,0.587040528668971,0.00142373958588197,0.296341245851455,0.135130768187227,0.00324436146728571
"49","Tilia americana",2.27417353375004,0.623374236876346,0.0158117351995251,0.0957053412333137,0.011079459332857,0.00108366038820101,-0.430246987849,-0.000539553470222317,-0.00962548147074397,0.0429939383984669,0.000959635481954562,0.0013797481260383,0.507568386676699,0.756282373161637,0.00491274240469213,0.293596432899336,0.124102369150175,0.0034410939542665
"50","Tsuga canadensis",1.22129826909151,0.738855892458866,0.00447733754202032,0.0537320805658829,0.0112884241346654,0.000457301391447106,0.456892309775169,-0.00441013982249551,-0.00935806247458649,0.0579020244757786,0.00127391205855615,0.00130940657172099,1.12215919676307,0.588972398491321,9.73340623279538e-05,0.671443503984454,0.162066749727503,0.0065638543736727
"51","Tsuga heterophylla",1.46124465483936,0.734221484882723,0.0043621568422143,0.0496132876965796,0.00772277550617886,0.00031049145227126,0.239061165118337,-0.000138817972610507,-0.00401055984664577,0.0489874874266445,0.00053763203744283,0.000731616405514864,0.795525379161122,0.599203826197755,-0.000312412109250973,0.325775715041752,0.110656864956464,0.00166900753382991
"52","Ulmus americana",2.36402547052445,0.578724875674896,0.013825598750629,0.0943203411423642,0.0110437434118076,0.00134030115852562,-0.439663177774385,0.00116125421607978,-0.00658888444415576,0.0485029580446598,0.00127071768404524,0.00163004636107891,0.490045161355975,0.828559877215765,0.00240058575538765,0.173577586390504,0.097734704821429,0.00155567537343557
